no,year,title,kor_full
28,1998,교육 개혁 구현을 위한 초등학교 학급 경영 관련 소프트웨어 개발 연구,교육 개혁 구현을 위한 초등학교 학급 경영 관련 소프트웨어 개발 연구    
29,1998,이동 에이전트를 이용한 보안 관리 시스템 모델,이동 에이전트를 이용한 보안 관리 시스템 모델   이동 에전트를 응용한 프로그래밍은 최근 급격히 확산되고 있는 경향으로서， 이는 코드의 이동성을 기초로 한 프로그래밍 패다임이다. 네트워크 환경에서 컴퓨터의 사용이 증가함에 따라 컴퓨터 네트워크의 보안 관리의 중요성이 부각되고 있다. 본 연구는 이동 에이전트를 이용한 보안 관리 시스템의 기본 모델을 설계하였다.
30,1998,초 · 중등에서의 컴퓨터교육 필수화 방안,"초 · 중등에서의 컴퓨터교육 필수화 방안   정보사회에서 정보 인프라 구축의 중요한 변인은 초 • 중등학교에서의 내실 있는 정보교육이 아닐 수 없다. 이 연구는 현재 일선 학교에서 실시하고 있는 정보 관련 교육을 교육과정에 근거하여 시간과 내용을 분석해보고, 그 문제점과 대안을 제시하는 데 그 목적이 있다. 또한 일선 교사와 학부모들의 의견도 설문지를 통하여 조사하여 그 결과도 참고하였다."
31,1998,웹 기반 사이버 화석 박물관의 설계 및 구현,"웹 기반 사이버 화석 박물관의 설계 및 구현   정보산업의 발달됨에 따라 텍스트 위주의 문서 정보보다는 사용자 위주의 요구가 점차적으로 증가하고 있다. 인간은 텍스트보다는 시각적인 인지가 발달되어 시각적 표현 방법을 선호하고 있으며 컴퓨터를 사용하여 정보를 얻을 때 시각적 검색 방법을 요구하고 있다. 전통적인 시스템 접근 방식은 질의 언어 등을 스트링이나 실수 혹은 정수로 처리하나 화석 정보 시스템은 다차원 상의 위치, 모양, 크기뿐만 아니라 다른 공간 객체와의 상호관계 등을 복합적으로 표현되는 비 공간 객체도 포함하고 있다. 따라서 화석 정보는 이러한 공간 객체와 비 공간 객체를 유기적으로 관리할 수 있어야 한다. 본 논문에서 제안하는 사이버 화석 박물관은 두 단계로 구성되어 있다. 첫 번째는 인터넷상에서 초 • 중 • 고 및 일반인 사용자를 대상으로 흥미롭게 음성， 화상， 동화상， 문자 등을 시각적 정보에 초점을 두고 설계한 사용자 중심의 시스템, 두 번째는 전문가 시스템으로 공간， 비 공간 객체를 다단계 질의에 의해서 유기적으로 관리하는 시스템을 설계하고 구현했다."
32,1998,분산처리 시스템하에서의 모든 교착상태 발견을 위한 알고리즘,분산처리 시스템하에서의 모든 교착상태 발견을 위한 알고리즘   분산처리 시스템하에서 교착 상태를 발견하기 위한 대부분의 분산 알고리즘은 probe라는 짧은 메시지를 사용하지만 발생되는 메시지의 일부분만이 사용될 뿐이다. 따라서 불필요한 probe들은 communication traffic을 심히 초래하는 결과를 낳는다. 본 논문에서는 이러한 결점을 보완하여 모든 probe들이 유효하게 사용되어지는 알고리즘을 제시한다. Wait-for-graph상의 모든 edge의 수를 e라고 하였을 때， 제시된 알고리즘은 graph 상의 모든 교착 상태를 O(e) 메시지를 사용하여 발견한다.
33,1998,엔트로피를 기반으로한 Web 문서들의 복잡도 척도,"엔트로피를 기반으로한 Web 문서들의 복잡도 척도   본 연구에서는 HTML이나 XML로 작성한 Web 문서들의 복잡도를 측정하는 모델을 제안한다. 문서들의 복잡도는 문서들을 이해하는 데 밀접한 영향을 미치고, 이 이해도가 높은 Web 문서들은 결국 WEI에 좋은 효과를 거둘 수 있다. 본 연구에서 제안한 복잡도는 Web 문서들 간의 주고받는 정보의 흐름의 정도를 표현하기 위하여 엔트로피의 함수를 이용한다. 제안한 문서 복잡도는 문서들간의 정보 이동 관계에 의해서 문서들 내의 정보 흐름을 측정한다. 논 연구에서 제안한 문서 복잡도의 타당도는 Weyuker가 제안한 프로그램의 복잡도 평가 방법을 이용하여 평가하였고, 실제 문서들의 복잡도를 측정하였다. 또한 문서화일의 수와 문서 복잡도간의 상관관계를 분석하여 본 연구에서 제안한 문서 복잡도의 효율성을 제시하였다."
34,1998,차량 항법 시스템의 경로 탐색을 위한 탐색 알고리즘들의 성능 비교,차량 항법 시스템의 경로 탐색을 위한 탐색 알고리즘들의 성능 비교   차량 항법 시스템에서의 경로 탐색은 두 지점 간 최단 경로 탐색을 위한 알고리즘을 이용해서 이루어질 수 있다. 다양한 최단 경로 탐색 알고리즘들에 대한 성능 평가는 알고리즘의 적용 분야에 따라 제각기 달라질 수 있는데 차량 항법 시스템에서는 선정된 경로의 정확성과 경로 탐색에 소요되는 시간이 통합적으로 평가되어야 한다. 본 논문에서는 지금까지 알려진 다양한 경로 탐색 알고리즘들 중에서 차량 항법 시스템의 경로 안내에 최적의 알고리즘을 판단하기 위하여 시물레이션을 통해 각 알고리즘들의 성능을 비교 측정하였다. 시뮬레이션은 실용성을 위하여 실제의 디지털 도로 지도 데이터 베이스를 이용하여 실시하였다. 실험 결과에 의하면 양방향 탐색을 이용한 Bi-directional Dijkstra 알고리즘과 양방향 탐색과 경험적 탐색 방법을 함께 이용한 Modified Bi-directional A* 알고리즘이 다른 알고리즘들에 비해 가장 뛰어난 성능을 보여주었다.
35,1998,사용자 정의 성능 분석을 지원하는 성능 감시 도구의 설계 및 구현,"사용자 정의 성능 분석을 지원하는 성능 감시 도구의 설계 및 구현   본 논문에서는 RDL/PAL 인터페이스와 사건표현식을 지원하는 성능 감시 도구를 설계하였다. RDL/PAL은 성능 감시 도구의 사건 추적층과 성능 분석층간의 인터페이스를 제공하고， 임의의 추적 양식에 접근하여 사건 데이터를 추출해낼 수 있다. 또한, 사건표현식은 일반적인 프로그래밍 언어와 유사한 형태로 구성되어 프로그래머가 원하는 성능 분석 결과를 쉽게 얻을 수 있다. 프로그래머는 본 논문에서 구현한 성능 감시 도구를 이용하여 추적 양식에 관계없이 다양한 성능 분석을 할 수 있다는 장점을 가지고 있다."
36,1998,웹 데이터베이스를 기반으로한 초등 교육 시스템 구축,"웹 데이터베이스를 기반으로한 초등 교육 시스템 구축   본 시스템에서는 교과목 별로 자료실을 운영하여 다양한 형태의 교육 자료를 제공 및 공유할 수 있도록 하였고， 비밀을 보장하며 E-Mail이 없어도  시스템(Http://Oncho.kongju-e.ac.kr/)에 접속한 후 어린이와 어린이， 교사와 어린이, 그리고 교사와 학부모간의 원활한 의사 소통과 이성 문제, 폭력 문제， 그리고 가정 문제등 여러 가지 제반 상담을 할 수 있도록 서비스 한다. 또한，웹상에서 워드프로세서 자격증에 관한 내용을 학습할 수 있도록 하고， 학습자 스스로 평가할 수 있도록 평가 모듈을 서비스하고 있다."
37,1998,초고속망의 원격교육 서비스를 위한 가상클래스의 그룹 관리 시스템,"초고속망의 원격교육 서비스를 위한 가상클래스의 그룹 관리 시스템   본 연구에서는 초속망의 원격교육을 지원하는 그룹 관리 시스템을 연구하였다. 효율적인 원격교육을 위해서는 가상클래스 상의 피관리 객체와 그 동작들을 관리， 제어하는 메카니즘이 필요하며， 교수자는 학습그룹 및 하나의 학습그룹을 형성하는 학습자의 다양한 상태변화를 직시할 수 있어야 한다. 그리고， 가상클래스 상에서 교수자와 학습자는 학습그룹에 따라 토론하고 상호 메시지 송수신이 가능해야 한다. 본 논문에서는 이러한 가상클래스 운용을 위한 그룹 관리 및 관리정보베이스 모델을 제안하고, 거기에 요구되는 그룹 관리 알고리즘을 연구하였다."
38,1998,컴퓨터 그래픽의 현재와 미래,"컴퓨터 그래픽의 현재와 미래   본 논문에서는 컴퓨터 그래픽의 역사와 미래， IMF를 맞이한 우리 나라의 컴퓨터 그래픽의 상황과 현재까지 개봉한 컴퓨터 그래픽 영화만이 아니라 앞으로 개봉할 컴퓨터 그래픽 영화， 애니메이션의 개발 현황, 가상현실의 역사와 앞으로의 가능성 등， 컴퓨터 그래픽 분야의 다양한 주제에 대하여 살펴본다."
39,1998,원격 교육 시스템의 화이트보드 구현시 고려 사항,"원격 교육 시스템의 화이트보드 구현시 고려 사항   컴퓨터 하드웨어의 발전과 초고속의 네트워크의 출현으로 지리적으로는 떨어져 있지만 컴퓨터 네트워크로 연결되어 있는 교사와 학생간에 동기식 학습이 가능하게 되었다. 전통적인 원격 교육과 비교하여 볼 때， 이러한 학습은 매우 높은 수준의 상호작용과 상호 협력을 제공하지만 전통적인 교실에서의 수업과 비교하여 볼 경우에는 다음과 같은 매우 중대한 결점들을 지니고 있다. 오늘날의 동기식 학습 시스템은 오디오， 비디오, 문서 편집을 제공하는 비디오 컨퍼런싱 기술에 주로 의존하고 있으며， 교수 과정의 조절， 손을 드는 행위， 지적 표시 등과 같은 특별한 교수 방법은 크게 고려하지 않고 있다. 이에 대두된 개념이 공유 화이트보드이다. 화이트보드는 전통적인 칠판의 전자적인 대체물로 이를 통해 원격 학습에 임하는 교사와 학생들이 전통적인 교실의 칠판의 이점을 취할 수 있게 된다. 따라서 본 논문에서는 화이트보드 구현시 고려 사항인 시스템 구조와 동시성 제어 방법에 대해 다양하게 살펴본다."
40,1998,적응형 튜토링 에이전트,적응형 튜토링 에이전트   해결해야 할 문제가 복잡해짐에 따라 소프트웨어의 구조가 대단히 복잡해지고 있다. 이는 데이터와 응용 프로그램 모두 동적 분산적 성격이 강해지고 있기 때문이다. 소프트웨어 시스템은 사용자간의 작업을 조정하는 역할뿐만 아니라 분산된 프로그램간의 협력기능을 관리하는 데에도 일조를 하도록 요구되고 있다. 소프트웨어 에이전트는 이러한 요구를 만족시키는 일반적인 메커니즘을 갖고 있다. 에이전트가 대단히 동적이고 분산된 환경하에서 효과적으로 주어진 작업을 수행하기 위하여 적응성을 가질 필요가 있다. 적응성은 에이전트 행동의 여러 차원에 존재하는 기능으로， 본 논문에서는 이 적응성을 에이전트의 관점에서 내부구조 살펴보고 튜토링 에이전트에 적용할 수 있는 적응형 에이전트 모델을 제시하고자 한다.
41,1998,웹 기반 프로젝트의 교육적 활용을 위한 설계,"웹 기반 프로젝트의 교육적 활용을 위한 설계   웹의 교육적 활용은 학생의 흥미 유발 및 자발적 참여와 아울러 시공간의 제약을 넘어 최신의 정보를 얻을 수 있다는 장점으로 최근 교육 기관으로부터 많은 관심을 끌고 있다. 웹의 자료를 검색하여 원하는 정보를 찾아 교육에 활용하기 위한 연구가 다방면에서 진행되고 있다. 웹 자료의 단순한 활용에서 한 차원 높여 보다 조직적이고 통합적인 웹 기반 프로젝트에 대해 소개한다. 웹 기반 프로젝트의 특징은 프로젝트의 주제에 대한 폭 넓은 경험， 통합 교과교육, 창의성 개발, 협동심 배양， 세계화 교육 등을 꼽을 수 있다. 본 논문은 웹을 기반으로하는 프로젝트의 운영에 대한 개념을 설명하고 그 특성을 살려 어떠한 분야에 활용할 것인지 논의하고 웹 프로젝트 설계의 기본 구조를 제안한다."
42,1998,상호작용적 웹활용교육에 관한 연구,"상호작용적 웹활용교육에 관한 연구   웹은 여러 사람들이 상호작용적으로 학습할 수 있는 새로운 교수 • 학습방법들을 제공한다. 그러나 웹상에 존재하는 교육자료들은 상호작용을 충분하게 지원하지 못하며, 학습자의 수준별로 융통성 있게 학습을 지원하기가 어렵다. 그러므로 본 논문에서는 웹을 활용하여 학습할 때 방향감을 상실하지 않고 수준별 학습이 가능하도록 상호작용성을 증진시킬 수 있는 에이전트 기술을 사용하여 웹활용교육 시스템을 제안한다."
43,1998,가상대학을 지원하기 위한 트랙젝션 모형,"가상대학을 지원하기 위한 트랙젝션 모형   최근 들어 인터넷의 발달 등에 힘입어 가상대학에 관한 관심이 증가하고 있으나， 기존의 가상대학 구축을 위해 적용되는 기술은 가상대학의 구현에 있어서 미비한 점이 많다. 특히， 현재의 트랜젝션 모형들은 가상대학을 지원하기 위해 많은 점이 보완되어야 한다. 본 연구에서는， 가상대학을 지원하기 위한 트랜젝션 모형을 제안한다. 본 연구에서는 첫째, 가상대학의 일반적인 환경에 대해서 논의하고 둘째 가상대학 지원을 위한 트랜젝션의 요구사항 들을 제시한다. 이 요구사항 들은 온라인 처리， 트랜젝션 길이의 유연성, 비예측성， 상호 작용성 또한 병렬성 등을 포함한다. 이 요구사항을 만족하는 트랜젝션 모형을 제안하고 또한 트랜젝션 처리 기법을 제안한다. 마지막으로， 앞으로의 연구과제 들을 제안한다."
44,1998,CAI 응용프로그램 작성시 자료공유를 위한 한자 코드 체계 정의에 관한 연구,"CAI 응용프로그램 작성시 자료공유를 위한 한자 코드 체계 정의에 관한 연구   CAI 프로그램 작성시 자료 공유를 위한 한자 공통코드 정의를 위하여 주요 한자문화권 국가의 한자코드에 대한 고찰 결과， 한자코드 정의시 발음순과 부수순을 혼용 및 동일 한자에 대한 간체자（중국 GB）와 이체자（일본 Shift JIS）의 개발, 사용이 많아 정체자（KSC 한국）간의 자료 호환시 적절한 변환 장치가 요한다. 발음순 원칙은 동자 이음어가 다른 코드로 인식되어 코드 영역의 낭비가 있고， 부수순 원칙은 자국의 두음법칙에 맞지 않으나 중복 코드를 방지할 수 있어 자료의 복원시 유리하다. KSC 제1수준과 제2수준 한자 영역은 학계 및 업계의 요구를 수용할 수준으로 확대시킬 필요가 있다. 유니코드는 시스템의 호환， 확장에 유리하고, 다양한 문자 표현이 가능하여 교육목적 코드의 일시적인 대안이 될 수 있다."
45,1999,온라인 실습환경 구축을 위한 클라이언트-서버 모델,"온라인 실습환경 구축을 위한 클라이언트-서버 모델   컴퓨터 관련 교육에 있어서 실험과 실습은 교육 내용의 효과적인 전달과 교육의 목적 달성을 위하여 대단히 중요한 부분이다. 현재의 환경에서 소프트웨어의 실험과 실습을 위해서는 실습하고자 하는 프로그램을 실습자가 사용하는 컴퓨터에 모두 설치하여야 한다. 실습 프로그램을 개별적으로 갖추는 것은 설치에 대한 부담, 설치에 의한 자원 낭비， 업그레이드의 필요성 등으로 인해서 실습 자체와는 직접적인 관련이 없는 부분에 대한 부담이 커진다. 본 논문에서는 WWW 환경에서 컴퓨터 관련 교과를 실습할 수 있는 환경을 구축하기 위한 기본적인 모델을 제시하는데 그 목적이 있다. 제안된 모델은 클라이언트-서버 구조를 기반으로하여 구축되었으며， 실습자는 웹 브라우저를 실행함으로써 실습에 대한 준비가 끝나며， 프로그램의 실행이나 처리는 서버에서 모두 이루어진다. 또한 WWW에서 제공하는 하이퍼링크 기능을 이용하여 실습에 관련된 사항이나 정보를 실습 환경 속에 포함할 수 있어 실습을 위한 통합된 환경을 제공한다. 제안된 모델의 유용성을 검증하기 위하여 본 논문에서는 다양한 프로그래밍 언어를 실습하기 위한 시스템， UNIX 운영체제 실습 시스템， 오라클 데이타베이스 실습 시스템을 제안된 모델을 이용하여 구현하였다."
46,1999,신경망을 이용한 칼라 입력장치의 칼라 보정,"신경망을 이용한 칼라 입력장치의 칼라 보정   칼라 입출력 장비의 가격이 점차로 저렴해짐에 따라 영상으로부터 물체의 형상뿐만아니라 칼라까지도 인식하여 보다 정밀한 정보를 이용하고자하는 요구가 증대되고 있다. 이를 위해서는 칼라 입출력 시스템의 정확한 칼라 표현 및 재현을 위해 칼라 보정에 관한 연구가 선행되어져야한다. 따라서, 본 논문에서는 칼라 입출력장비 중 칼라 스캐너의 칼라 보정에 관하여 연구하였다. 칼라 스캐너의 특성은 gray-balancing과 칼라 변환의 두과정으로 나뉜다. 칼라 변환으로부터 gray-balancing을 분리하므로써 칼라 변환을 위해 유도되어진 변환 행렬은 모든 형태의 스캐너에 적용될 수 있어 스캐너 특성의 portability를 가능하게 한다. 또한, gray-balance된 RGB값을 얻기위한 선의 적합을 위해 최소자숭법을 이용하였고, 칼라 변환을 위해 gray-balance된 RGB로부터 CIE-XYZ로 비선형적 좌표 변환 문제를 저장공간이 많이 필요하지 않고， 빠른 변환결과를 제공할 수 있는 장점이 있는 신경망 기법을 이용하여 해결 하였다. 삼차원 3자극치 공간에서 신경망 출력은 원하는 출력의 근사치를 제공하는 것을 알 수 있었다. 제안된 칼라 보정 방법은 모듈별로 분해되었기 때문에 스캐너 특성의 portability를 가능하게 하여 모든 형태의 스캐너 보정에 이용될 수 있으리라 기대된다."
47,1999,가상학습시스템에서 학습자의 자기주도적 학습을 위한 집중도 강화 방안 -초등학교 수학과 4학년을 중심으로-,가상학습시스템에서 학습자의 자기주도적 학습을 위한 집중도 강화 방안 -초등학교 수학과 4학년을 중심으로-    
48,1999,가상교육연수의 제도적 기반구축 연구,가상교육연수의 제도적 기반구축 연구    
49,1999,초등학교 논술 능력 향상을 위한 수준별 멀티미디어 CAI 타이틀 설계 및 구현,"초등학교 논술 능력 향상을 위한 수준별 멀티미디어 CAI 타이틀 설계 및 구현   초등학교 논설문 쓰기 교수-학습에서 기존의 텍스트 중심의 교수-학습에서 탈피하여 아동으로 하여금 직접적이고 적극적인 행동을 유발할 수 있는 교수-학습이 가능하게 하기 위해서 멀티미디어 CAI 타이틀을 제작하였다. 학습자 중심의 학습이 일어나게 하고 학습자의 오류에 대해서 즉시 피드백하여 교정이 가능하도록 함으로써 글쓰기 능력을 향상시키고 컴퓨터의 활용 능력을 기르도록 한다. 연구 내용온 다음과 같다. 1. 초등학교 4, 5, 6 학년 논술 제재 학습 요소를 추출하고 이에 맞는 수준별 과정안을 수립한다. 2. 논술 능력 향상을 위한 수준별 멀티미디어 CAI 타이틀을 설계하고 구현한다. 3. 개발된 CAI 타이틀의 일반화를 위한 교수-학습 모형을 모색하고 그 결과를 검증한다."
50,1999,SNMP를 이용한 PC 관리 시스템의 설계 및 구현,"SNMP를 이용한 PC 관리 시스템의 설계 및 구현   본 논문에서는 실습실 환경에서 SNMP를 이용하여 PC 관리를 위한 시스템 관리 MIB을 정의하고 이를 모니터링/제어하는 PC 관라 시스템을 설계하고 구현하였다. 시스템 관리 MIB은 PC의 시스템 정보， 프로세스 정보를 모니터링하는 MIB과 백업 및 복구를 위한 제어 MIB으로 설계되었다. 이를 위해 기존의 MIB에 시스템 정보， 프로세스 정보 그리고 백업 및 복구 정보를 새로 정의한 MIB을 추가하였다. 또한 LAN환경에서의 관리 시스템과 피관리 시스템 사이의 구조를 제시하고, PC관리의 대상이 되는 시스템 정보 및 프로세스 정보 그리고 백업과 복구에 대한 수행과정을 제시하였다. 아울러 실제 환경에서 피관리 시스템의 윈도우 버전, CPU 타입, 시스템 메모리 그리고 가상 메모리 정보를 모니터링하고 백업과 복구를 실행하여 정상동작을 확인하였다. 관리 시스템은 피관리 시스템으로부터 시스템 정보와 프로세스 정보를 수집하고, 피관리 시스템의 장애복구를 위한 백업과 복구 명령을 수행함으로써 LAN상에 연결된 많은 PC들을 효율적으로 운영하고 관리할 수 있을 것이다."
51,1999,교육에서의 효율적인 정보 활용을 위한 데이터 마이닝 기법,"교육에서의 효율적인 정보 활용을 위한 데이터 마이닝 기법   본 연구는 초•중등교육에서 사용되고 있는 데이터 베이스 시스템에 데이터 마이닝 기법을 적용하여 보다 효율적인 교육자료로 활용하기 위한 방안 제시에 그 목적이 있다. 데이터 마이닝에 대한 전반적인 내용과 기계학습과 관련된 내용을 고찰하였다. 교육에서 많이 사용되는 데이터베이스 시스템으로 종합생활기록과 건강 기록， 성적 자료가 있으며, 이러한 자료에서 나타난 특별한 형식과 집합을 데이터 마이닝 기법과 기계학습을 이용하여 유용한 정보를 추출하는 방법에 대해 제시하였다. 그리고 이러한 데이터 마이닝 기술을 사용함에 있어 교육 현장에서 문제가 되는 점과 이를 해결하기 위한 방안을 제안하였다."
52,1999,인터넷 환경에서 동영상 데이터베이스 시스템을 이용한 영어 학습,인터넷 환경에서 동영상 데이터베이스 시스템을 이용한 영어 학습   컴퓨터와 통신 기술의 발달로 인하여 인터넷은 정보와 지식의 습득을 도와주는 유용한 수단이 되었다. 최근에는 초고속 정보통신망의 출현으로 인하여 단시간 내에 세계 각 곳에 산재되어 있는 정보를 검색 및 전송할 수 있게 되어 인터넷의 교육적 가치가 더욱 높아지고 있는 실정이다. 이에 따라 인터넷을 교수학습에 활용할 수 있게 해주는 여러 가지 도구의 개발이 절실하게 요구된다. 본 논문에서는 인터넷환경에서 영어학습을 위한 객체관계형 동영상데이터 베이스 시스템을 설계하고 구현하고자 한다. 동영상 데이터베이스 관리 시스템을 이용하여 영어학습을 위한 동영상데이터베이스를 구축하고 이를 검색하는 기법을 제안한다. 또한 지금까지는 인트라넷과 같은 제한된 공간에서만 사용되던 동영상 데이터베이스를 인터넷에서도 활용할 수 있도록 하기 위한 도구를 개발한다. 이를 이용하면 인터넷상의 사용자가 영화장면과 같은 효과적인 영어학습 도구를 쉽게 찾을 수 있고 스트리밍 기술을 이용하여 실시간 전송 및 재생이 가능하다.
53,1999,호남문화의 정보화 및 열린교육을 위한 가상정보문화학부에 관한 연구,"호남문화의 정보화 및 열린교육을 위한 가상정보문화학부에 관한 연구   호남문화의 정체성과 문화발전을 확보하고 이를 세계화하며 동시에 경제적 가치를 창출하기 위해서는 호남문화를 정보화해야 한다. 본 연구에서는 호남문화 정보화의 사회 • 문화적 가치와 경제적 가치를 살펴보고 호남문화의 정보화 과정을 3단계로 분류하여 설정하였으며, 호남문화의 정보화를 담당할 인력 양성과 호남문화 교육 및 정보문화 교육을 실시하기 위한 방안을 제시하였다. 또한, 호남문화 정보화를 위한 가상정보문화학부 설립에 관한 구성체제 및 교육과정을 제안하였다."
54,1999,자기 주도적 학습력 신장을 위한 교육용 Web 컨텐트 설계 및 구현,자기 주도적 학습력 신장을 위한 교육용 Web 컨텐트 설계 및 구현    
55,1999,소프트웨어 RAID 기술을 이용한 주문형 비디오 시스템의 설계 및 구현,"소프트웨어 RAID 기술을 이용한 주문형 비디오 시스템의 설계 및 구현   본 논문에서는 소프트웨어 RAID에 기반한 주문형 비디오 시스템의 구현에 대해 기술한다. 이 시스템은 로컬 네트워크 환경의 개인용 컴퓨터들을 설정 서버, 저장 서버, 클라이언트의 세 부분으로 구성된다. 이 주문형 비디오 시스템에서는 신뢰도를 높이기 위해 소프트웨어 RAID 기술을 이용하고 있다. 또한， 로컬 네트워크 상에 있는 개인용 컴퓨터를 효율적으로 활용하기 위해 클라이언트 중심의 서비스가 이루어진다. 제안된 주문형 비디오 시스템의 구성 소프트웨어로는 설정 서버에서 동작하는 VOD 설정 소프트웨어, VOD 설정 서비스 소프트웨어， VOD 관리 소프트웨어가 있고 클라이언트에서 실행되는 VOD 서비스 소프트웨어가 있다. 설정 서버의 운영체제로 Windows NT를 사용해서 VOD 설정 서비스 소프트웨어가 서비스 매니저에 등록되어 데몬 프로세서 형태로 동작하도록 한다."
56,1999,학습자 중심 웹 기반 교수-학습체제의 설계전략과 상호작용성,"학습자 중심 웹 기반 교수-학습체제의 설계전략과 상호작용성   구성주의적 관점에서 교수-학습의 과정을 설명하고자 하는 노력들은 웹 기반 교수-학습체제 설계 과정의 중심을 학습자에게로 옮겨 놓았고 웹 환경에서도 학습자에게 인간의 면대면 의사소통과 동질의 학습환경을 제공하고자 하는 설계적 관심은 최적정 상호작용성을 구현하기 위한 처방적 전략으로 제시되고 있다. 상호작용 설계의 과정은 학습자와 체제간의 기계적, 물리적, 외현적인 교류는 물론 인지적， 정의적， 내면적 측면의 암묵적 교환을 포괄하는 측면에서 이루어져야 하고 이것은 웹 기반 교수-학습체제의 설계에도 예외없이 적용된다. 학습목표， 학습내용 및 학습자 특성과 더불어 웹 고유의 환경적 특성이 상호작용 설계에 통합되어야 한다."
57,1999,교육정보화를 위한 문서저장 및 정보검색에 관한 연구,교육정보화를 위한 문서저장 및 정보검색에 관한 연구   최근 정보화 도구의 발달로 교육용 소프트웨어와 학습용 DB 등이 빠른 속도로 개발되고 있으며， 인터넷을 통해 보급 및 교환이 활발하게 이루어지고 있다. 또한 교육행정정보화에 따라 여러 교육현장으로부터 생산되는 자료도 매년 엄청나게 불어나게 된다. 본 논문에서는 이러한 대량의 교육정보를 효율적으로 저장하고， 필요한 자료를 검색하여 실시간에 활용할 수 있는 적절한 정보검색시스템과 통합검색 방안에 대해서 제안하였다. 또한 제안한 방법에 의해 간단한 프로토타입을 개발하여 실험하였다.
