no,year,title,eng_full
11,2020.0,"Galton, Terman, Cox: The Distinctive Volume II in Genetic Studies of Genius","Galton, Terman, Cox: The Distinctive Volume II in Genetic Studies of Genius archival; biographical; historical analysis; early childhood; gifted; intelligence With just one exception, all of the volumes in Terman's Genetic Studies of Genius report the results of a longitudinal study of more than a thousand intellectually gifted children. That single exception is Volume II, Cox's single-authored The Early Mental Traits of Three Hundred Geniuses, which instead was a retrospective study of 301 eminent creators and leaders, using historiometric methods to estimate their IQs (as well as to assess a subset of 100 on 67 character traits). This article discusses how this volume actually fits with the other four volumes in the set. After giving the historical background, discussion turns to the emergence of Cox's doctoral dissertation. Then comes a narrative of the aftermath, including subsequent contributions by Cox, Terman, and numerous other researchers extending into the 21st century. The article closes by treating the ways that the intellectually gifted and the historic geniuses are not comparable, thus indicating the need for more recent replications and extensions of her work."
12,2020.0,Factors Related to Suicidal Cognitions of Academically Gifted Students in the Chinese Social-Cultural Context: An Exploratory Study,"Factors Related to Suicidal Cognitions of Academically Gifted Students in the Chinese Social-Cultural Context: An Exploratory Study academically gifted; positive psychology; suicidal cognition; Chinese; social-cultural context; broaden-and-build theory From the perspective of positive psychology, this study examined the variables in four domains of personal resources under the broaden-and-build theory concerning their relationships with suicidal cognition among academically gifted students. A total of 386 academically gifted secondary school students in China participated in the study. First, the descriptive analysis results indicated that the mean score of suicidal cognition was below average, but these students were experiencing sleep deprivation problem in their daily lives. Second, based on the broaden-and-build theory, correlational analysis results suggested that most of the variables from the four domains of resources were significantly related to suicidal cognition. Most important, regression results showed that cognitive and psychological resources appeared to be the most influential for suicidal cognition. Furthermore, parents should be alerted that, for academically gifted students, parental relationship (social resource) is important, as lack of such a positive relationship (i.e., parents' alienation) showed strong negative effect on suicidal cognition of these students. This was the first study that used the framework of broaden-and-build theory to study and compare the predictive effects of resources on suicidal cognition of academically gifted secondary school students in the Chinese social and cultural contexts."
13,2020.0,Differences in Using the Cognitive Abilities Test (CogAT) 7 Nonverbal Battery Versus the Naglieri Nonverbal Ability Test (NNAT) 2 to Identify the Gifted/Talented,"Differences in Using the Cognitive Abilities Test (CogAT) 7 Nonverbal Battery Versus the Naglieri Nonverbal Ability Test (NNAT) 2 to Identify the Gifted/Talented Cognitive Abilities Test; Naglieri Nonverbal Abilities Test; identification; nonverbal; school-level norming; local norming; group-specific norming; opportunity to learn The two most commonly used nonverbal tests for gifted identification, the Naglieri Nonverbal Ability Test (NNAT) and the Cognitive Abilities Test (CogAT) nonverbal battery, have not been compared in their newer versions to explore the effects of their use on the identification of underserved populations. Additionally, the effects of the use of various norming groups and cutoff scores on both instruments' identification abilities has not been compared. This study compared 15,733 CogAT7 nonverbal battery scores and 14,421 NNAT2 scores of kindergartners between 2013 and 2015 from one large urban school district to explore the differences between how each test relates to major demographic variables and examine the effects on who is selected for participation in gifted programming based on which instrument, which norming group, and which cutoff scores are used. Both instruments were less likely to identify students from demographic groups that have been traditionally underrepresented than students from traditionally overrepresented demographic groups, but identification varied based on the type of norming plan used and which instrument was taken. Suggestions are made as to the best instrument for use with various demographic groups and norming plans."
14,2020.0,Differentiating Among High-Achieving Learners: A Comparison of Classical Test Theory and Item Response Theory on Above-Level Testing,"Differentiating Among High-Achieving Learners: A Comparison of Classical Test Theory and Item Response Theory on Above-Level Testing item response theory; talent search; talent identification This study investigated the application of item response theory (IRT) to expand the range of ability estimates for gifted (hereinafter referred to as high-achieving) students' performance on an above-level test. Using a sample of fourth- to sixth-grade high-achieving students (N = 1,893), we conducted a study to compare estimates from two measurement theories, classical test theory (CTT) and IRT. CTT and IRT make different assumptions about the analysis that impact the reliability and validity of the scores obtained from the test. IRT can also differentiate students based on the student's grade or within a grade by using the unique string of correct and incorrect answers the student makes while taking the test. This differentiation may have implications for identifying or classifying students who are ready for advanced coursework. An exploration of the differentiation for Math, Reading, and Science tests and the impact the different measurement frameworks can have on classification of students are explored. Implications for academic talent identification with the talent search model and development of academic talent are discussed."
15,2020.0,Cyberbullying and Internet Addiction in Gifted and Nongifted Teenagers,"Cyberbullying and Internet Addiction in Gifted and Nongifted Teenagers bullying; generalized linear models; gifted; Internet addiction The present article analyzed whether there are differences between gifted and nongifted teenagers in relation to cyberbullying (either as aggressor or victim) and to Internet addiction (in both the intrapersonal and interpersonal dimensions). Furthermore, the existing relationships between cyberbullying and Internet addiction were explored in a sample of gifted teenagers and their nongifted classmates. Participants were 122 adolescents between 13 and 17 years of age (M = 14.40), in compulsory secondary education, half of whom were considered gifted students. The data obtained through a matched case-control study design revealed no significant differences between gifted students and the rest of the students in terms of the incidence of cyberbullying and Internet addiction. Nevertheless, results from generalized linear models revealed the important role that interpersonal conflicts deriving from Internet addiction play in explaining situations of cyberbullying."
16,2020.0,Gifted Underachievement and Achievement Motivation: The Promise of Breaking Silos,Gifted Underachievement and Achievement Motivation: The Promise of Breaking Silos    
17,2020.0,The Effectiveness of Current Interventions to Reverse the Underachievement of Gifted Students: Findings of a Meta-Analysis and Systematic Review,"The Effectiveness of Current Interventions to Reverse the Underachievement of Gifted Students: Findings of a Meta-Analysis and Systematic Review underachievement interventions; gifted underachievers; academic achievement and psychosocial outcomes; motivation for learning meta-analysis and systematic review; reliability and validity; effect sizes Underachievement of gifted students has been a great concern for the field of gifted education. The current study reviewed 14 recent empirical studies concerning the effectiveness of underachievement interventions on gifted students' achievement outcomes and psychosocial outcomes. Overall, there was no evidence that underachievement interventions significantly improved academic performance of gifted underachievers (g = .09, p = .387), especially in terms of course grades. Gifted underachievers receiving interventions significantly outscored their comparison peers on psychosocial outcomes (g = 0.22, p = .001), which consisted of a variety of measures on self-efficacy, goal valuation, environmental perceptions, self-regulation/motivation, and psychosocial functioning. Qualitative studies generally reported that gifted underachievers benefited from the interventions in terms of increased motivation for learning, improved self-regulation, and finding school more meaningful. Findings need to be viewed in light of the relatively low quality of the evidence from recent research on underachievement interventions."
18,2020.0,Gifted Students' Adjustment and Underachievement in University. An Exploration From the Self-Determination Theory Perspective,"Gifted Students' Adjustment and Underachievement in University. An Exploration From the Self-Determination Theory Perspective adjustment; gifted students; motivation; underachievement Successful transition from school to university is essential for the academic success of any student. Gifted students might encounter unique challenges due to their characteristics, and there is an evidence that a failure to adjust to the demands of university environment has a negative effect on gifted students' academic performance, leading to underachievement. This qualitative study aimed at exploration of gifted students' adjustment to university and issues they face within this process. We use the lenses provided by self-determination theory to further interpret the role of both internal and external motivation forces contributing to gifted students' adjustment and achievement in higher education settings. It was identified that the gifted school and university learning environments, as well as the influence of key people (parents, peers, and teachers) played a crucial role in facilitating or impeding gifted school graduates' sense of self-determination and consequently their adjustment and achievement. This study offers interesting insights for the understanding of gifted (under)achievement in a context where giftedness is predominantly conceived as high intelligence and academic achievement, gifted students are identified via performance-based measures, specialized schools are the preferred means for gifted education, and young people's talents are considered invaluable for the development of the national economy and the society."
19,2020.0,Pay Attention to Inattention: Exploring ADHD Symptoms in a Sample of Underachieving Gifted Students,"Pay Attention to Inattention: Exploring ADHD Symptoms in a Sample of Underachieving Gifted Students ANOVA; MANOVA; attention deficit disorder; attention-deficient; hyperactivity disorder; gifted; motivation; underachievement Much has been written about the relationship of giftedness and attention-deficit/hyperactivity disorder (ADHD), as well as the relationship between ADHD and underachievement. The present study examined whether students who were identified as gifted underachievers were more likely to manifest symptoms of ADHD, as measured by the ADHD-IV. Over half of the gifted underachievers met the screening criteria for ADHD based on teacher reports, and almost 30% of the gifted underachievers met the screening criteria for ADHD based on parent reports. Most of these students had elevated scores on the inattention scale. The prevalence of inattention was over 2 times as high as the prevalence in the norming sample using the teacher rating scales and over 5 times as high as the prevalence in the norming sample using the parent rating scales. Although parents and teachers rated students similarly on the hyperactivity scale, teachers rated students as more inattentive than parents did. However, elevated parent ratings of inattention negatively predicted students' self-regulation, goal valuation, and self-efficacy. Self-regulation was most strongly related to inattention. We cannot know whether the gifted underachievers with high inattention scores have undiagnosed ADHD. However, our results suggest that a substantial percentage of gifted underachievers exhibit attentional problems at home, and that these attentional problems are severe enough to merit further examination."
20,2020.0,"An Expectancy-Value Approach to Math Underachievement: Examining High School Achievement, College Attendance, and STEM Interest","An Expectancy-Value Approach to Math Underachievement: Examining High School Achievement, College Attendance, and STEM Interest structural equation modeling; secondary data analysis Students' academic underachievement, defined as discrepancies between ability and academic performance, is a widespread problem leading to many negative consequences. Our study examines high school students' math underachievement, its motivational antecedents, and its impact on future math achievement, college attendance, and STEM (science, technology, engineering, and mathematics) interest. Using data from the nationally representative High School Longitudinal Study, we identified students who exhibited a math ability-achievement discrepancy between their standardized math scores at the beginning of ninth grade and their final math grade in fall of ninth grade. We then conducted generalized structural equation modeling to identify direct effects of math motivation on math underachievement along with the direct effects of math underachievement on future STEM and college outcomes. Informed by expectancy-value theory, we found that math motivation, as measured by value and expectancy beliefs was significantly associated with math underachievement. We also found that math underachievement was associated with a number of outcomes in the high school to college transition with evidence of moderation by high math ability. Implications for research, practice, and policy are discussed."
21,2020.0,Telling a Tale: How Underachievement Develops in Gifted Girls,"Telling a Tale: How Underachievement Develops in Gifted Girls gifted; underachievement; achievement motivation; narrative inquiry In this multiple-narrative inquiry, we examined the narratives of four underachieving gifted girls to identify aspects that appear to have contributed to the onset, development, and resolution of academic underachievement. We found that academic achievement was disrupted when the participants experienced a sudden increase in curricular demands when transitioning to middle or high school. Participants' negative self-perceptions, lack of learning skills, and negative relationships with teachers commonly contributed to the maintenance of the underachievement. Finally, the underachievement began to resolve when the girls had a clear goal in mind, which for three of them was being accepted to college."
22,2020.0,Cognitive and Achievement Characteristics of Students From a National Sample Identified as Potentially Twice Exceptional (Gifted With a Learning Disability),"Cognitive and Achievement Characteristics of Students From a National Sample Identified as Potentially Twice Exceptional (Gifted With a Learning Disability) academic achievement; cognitive abilities; descriptive; giftedness; learning disabilities It is important to identify cognitive and achievement characteristics that differentiate students who are twice exceptional because they are gifted and have a learning disability (2e-LD) from gifted and average ability peers because this information informs empirically-based identification and support systems for this population. In this study, I classified school-age participants (N = 3,865) in the nationally representative standardization sample for the Woodcock-Johnson IV (WJ IV) Tests of Cognitive Abilities and Achievement as potentially gifted, 2e-LD, or of average ability based on their WJ IV performance. I compared mean levels of performance, strengths and weaknesses, and intraindividual heterogeneity across 2e-LD, gifted, and average-ability groups. The 2e-LD group demonstrated greater heterogeneity in performance, and their strengths and weaknesses were largely consistent with past research and writing on 2e-LD characteristics. Results support some 2e-LD identification recommendations from the literature and highlight the potential benefits of individualized assessment, dual differentiation, and a de-emphasis of speeded academic tasks."
23,2020.0,Supports for Youth in Accelerated High School Curricula: An Initial Study of Applicability and Acceptability of a Motivational Interviewing Intervention,"Supports for Youth in Accelerated High School Curricula: An Initial Study of Applicability and Acceptability of a Motivational Interviewing Intervention International Baccalaureate; mental health; mixed methods; motivation; secondary High school students in accelerated classes face heightened school-related stressors but have access to few specialized supports. This article describes the development and initial application of the Motivation, Assessment, and Planning (MAP) intervention, developed to meet the needs of freshmen in Advanced Placement (AP) and International Baccalaureate (IB) curricula. MAP is grounded in motivational interviewing and designed to evoke behavior change following one to two individual meetings with a coach. This study used a multimethod, multisource approach to evaluate the applicability and acceptability of MAP as a Tier 2 support for 9th-grade students completing AP/IB coursework. Quantitative and qualitative acceptability data from 49 AP/IB students, 7 coaches, and 3 potential end-users of MAP were examined. Results indicate MAP was perceived as an acceptable intervention for addressing the social-emotional needs of high-achieving students taking AP/IB classes. Findings and directions for further research of MAP are discussed."
24,2020.0,Making Meaning out of MANOVA: The Need for Multivariate Post Hoc Testing in Gifted Education Research,"Making Meaning out of MANOVA: The Need for Multivariate Post Hoc Testing in Gifted Education Research MANOVA; discriminant analysis; multivariate analysis Multivariate analysis of variance (MANOVA) is a statistical method used to examine group differences on multiple outcomes. This article reports results of a review of MANOVA in gifted education journals between 2011 and 2017 (N = 56). Findings suggest a number of conceptual and procedural misunderstandings about the nature of MANOVA and its application, including pervasive use of univariate post hoc tests to interpret MANOVA results. Accordingly, this article aims to make MANOVA more accessible to gifted education scholars by clarifying its purpose and introducing descriptive discriminant analysis as a more appropriate post hoc technique. A heuristic data set is used to demonstrate the procedures for running a descriptive discriminant analysis, both in place of a one-way MANOVA and as a post hoc analysis to a factorial design. SPSS and R syntax are provided."
25,2020.0,MANOVA: A Procedure Whose Time Has Passed?,"MANOVA: A Procedure Whose Time Has Passed? MANOVA; ANOVA; Type I error; SEM; regression Multivariate analysis of variance (MANOVA) is a statistical procedure commonly used in fields such as education and psychology. However, MANOVA's popularity may actually be for the wrong reasons. The large majority of published research using MANOVA focus on univariate research questions rather than on the multivariate questions that MANOVA is said to specifically address. Given the more complicated and limited nature of interpreting MANOVA effects (which researchers may not actually be interested in given the actual post hoc strategies employed) and that various flexible and well-known statistical alternatives are available, I suggest that researchers consult these better known, robust, and flexible procedures instead, given the proper match with the research question of interest. Just because a researcher has multiple dependent variables of interest does not mean that a MANOVA should be used at all."
26,2019.0,"George Betts: Scholar, Leader, and Advocate for the Social and Emotional Development of Gifted and Talented Students Obituary","George Betts: Scholar, Leader, and Advocate for the Social and Emotional Development of Gifted and Talented Students Obituary    "
27,2019.0,Inequities of Enrollment in Gifted Education: A Statewide Application of the 20% Equity Allowance Formula,"Inequities of Enrollment in Gifted Education: A Statewide Application of the 20% Equity Allowance Formula gifted education; multicultural; equity; identification; Bayesian Underrepresentation in gifted education for ethnically diverse student groups has been widely recognized. Two recent federal district court decisions defined the lower limits of equitable participation using the 20% equity allowance formula proposed by Donna Ford. The purpose of this article was to evaluate the application of the 20% rule to identify the prevalence of inequity and associated variables in Texas gifted education programs. Using data from the Office of Civil Rights and Texas Education Agency, the authors applied the 20% rule to demographics of K-12 gifted education programs in Texas to identify inequity and used Bayesian regression with district characteristics to investigate contributing factors of inequity. Only 282 of 994 (28.4%) districts met equity standards for Hispanic students. Second, Bayesian regressions with district-level characteristics of students, teachers, and expenditures were used to identify factors associated with inequitable enrollment of Hispanic students. Overall, the model accounted for 12.9% variance (R-2 = 0.129, 95% highest density interval [0.095, 0.170]), with increasing variance explained by district subsets (i.e., city, suburb, town, rural). Furthermore, the results of the regression models revealed the percentage of Hispanic and White teachers were inversely associated with inequity across all district subsets. It is postulated that the mechanism of inequity is in the teacher referral process, frequently used as a determinant of gifted education enrollment. The authors suggest means of addressing this reality."
28,2019.0,The Effects of Academic Giftedness and Gender on Developmental Trajectories of Hopelessness Among Students Living in Economically Disadvantaged Neighborhoods,"The Effects of Academic Giftedness and Gender on Developmental Trajectories of Hopelessness Among Students Living in Economically Disadvantaged Neighborhoods gender; giftedness; hopelessness; poverty; growth curve modeling; longitudinal Although there is much research on adolescent poverty, research related to youth living in communities characterized by extreme poverty who are also identified as academically gifted is lacking. This study explores the development of hopelessness in these youths, compared with peers not identified as gifted, using data from the Mobile Youth and Poverty Study. Specifically, trajectories of hopelessness as a function of gifted status and gender are explored. Results indicate that boys experience greater feelings of hopelessness than girls, regardless of their gifted status, and students identified as gifted have lower levels of hopelessness than their peers not identified as gifted. These latter differences are particularly pronounced during early adolescence (age 10 years) but decline over time and largely disappear by later adolescence (age 18 years). Results suggest that boys may be particularly vulnerable to declining effects of gifted classification as a protector against hopelessness across age and that disadvantaged students who are identified as gifted may benefit from gifted programs that continue at an intense level through their high school years."
29,2019.0,Machine Learning in Gifted Education: A Demonstration Using Neural Networks,"Machine Learning in Gifted Education: A Demonstration Using Neural Networks gifted education; supervised learning; neural networks Machine learning algorithms are used in language processing, automated driving, and for prediction. Though the theory of machine learning has existed since the 1950s, it was not until the advent of advanced computing that their potential has begun to be realized. Gifted education is a field where machine learning has yet to be utilized, even though one of the underlying problems of gifted education is classification, which is an area where learning algorithms have become exceptionally accurate. We provide a brief overview of machine learning with a focus on neural networks and supervised learning, followed by a demonstration using simulated data and neural networks for classification issues with a practical explanation of the mechanics of the neural network and associated R code. Implications for gifted education are then discussed. Finally, the limitations of supervised learning are discussed. Code used in this article can be found at"
30,2019.0,Who Gets Served in Gifted Education? Demographic Representation and a Call for Action,"Who Gets Served in Gifted Education? Demographic Representation and a Call for Action equity; underrepresentation; assessment; gifted The disproportional representation of students from various demographic subgroups within identified gifted and talented populations has long frustrated policy makers, education advocates, researchers practitioners within the field, and those concerned with societal inequality in general. Despite the prevalence of articles in the media reporting on disproportional representation, little research has been conducted to track whether (a) the representation of these student subgroups, particularly students with limited English proficiency or students with disabilities, has changed over time or (b) states with and without policies differ in proportional representation of students identified with gifts and talents. For example, increasingly, gifted education advocates have pushed for mandates that all students be screened for gifted program eligibility as a way to combat disproportionality, despite little evidence that such methods influence proportionality. Therefore, this study sought to understand whether and how state and national gifted program demographics have changed over time and how proportionality is correlated with state mandates for gifted education identification or services. A preprint of this paper as well as additional figures are available at: ."
31,2019.0,What Boosts Talent Development? Examining Predictors of Academic Growth in Secondary School Among Academically Advanced Youth Across 21 Years,"What Boosts Talent Development? Examining Predictors of Academic Growth in Secondary School Among Academically Advanced Youth Across 21 Years academically gifted; academic talent We examined 482,418 students who took the ACT in the seventh grade and again in high school, taking an exploratory analytic approach to examine academic growth trends from 1996 to 2017. Predictors included sociodemographics, interests, high school (HS) characteristics, HS coursework and GPA, and extracurriculars, which explained 25% of the variance in academic growth. Overall, growth improved from 2005 to 2017, but growth for low-income and Hispanic students was stagnant. Catholic and private school students had the highest growth; homeschooled and high-poverty public school students had the lowest. High growth was associated with STEM (science, technology, engineering, mathematics) elective HS courses and advanced AP, accelerated, and honors courses. Students with investigative and conventional interests had higher growth. Some extracurriculars had significant relationships with academic growth, though the effects were small."
32,2019.0,Presenting a Qualitative Study: A Reviewer's Perspective,"Presenting a Qualitative Study: A Reviewer's Perspective qualitative research; new researchers; researcher bias; approaches; trustworthiness Intended to guide scholars who are new to qualitative research, this methods brief focuses mostly on what reviewers look for in manuscripts submitted for publication. The author acknowledges that reviewers' preferences likely reflect their theoretical perspectives, research-oriented coursework, mentors, and research and writing experiences. The emphasis, therefore, is on terminology and basic elements that apply across a broad range of qualitative approaches. Discussion also addresses researcher inclinations toward qualitative inquiry; the importance of fit among approach, purpose, and research questions; the need for manuscript authors to identify potential researcher bias and explain how it was monitored; and the necessity of including and describing other elements that contribute to trustworthiness. Examples from journals in the field represent a wide range of research types, foci, and data sources."
33,2019.0,On Deciding to Accelerate: High-Ability Students Identify Key Considerations,"On Deciding to Accelerate: High-Ability Students Identify Key Considerations acceleration; group concept mapping; gifted; student beliefs; high-ability students; student voice Acceleration is a well-researched educational intervention supporting positive outcomes for high-ability students. However, access to acceleration may be restricted due to educators' misapprehensions about this practice. To better understand whether students share educators' concerns, our study explored 26 high-ability students' beliefs about important considerations in grade-based acceleration. Seventeen high-ability students who had accelerated (age 9-14 years) participated in group concept mapping activities, which involved sorting and rating a list of student-generated considerations. We applied multidimensional scaling and hierarchical cluster analysis to the sorted data to create a structured conceptualization of students' advice on deciding to accelerate. Our analyses revealed the following six key concepts, from most to least important: (a) Best Learning Environment, (b) Child's Preferences, (c) Abilities Across Different Subjects, (d) Peer Group, (e) Context and School Support, and (f) Social Considerations. Our interpretations include comparison of high-ability students' advice to existing acceleration guidelines. Practical implications are discussed."
