id,label,message
73,0,Ok..
74,0,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
75,0,It should take about  &lt;#&gt;  min
76,0,Mm feeling sleepy. today itself i shall get that dear
77,0,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
78,0,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
79,0,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.
80,0,You said not now. No problem. When you can. Let me know.
81,0,Jus finish bathing...
82,0,Dont put your phone on silent mode ok
83,0,10 min later k...
84,1,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
85,0,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
86,0,Is that what time you want me to come?
87,1,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
88,0,U guys never invite me anywhere :(
89,0,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor..."
90,0,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
91,0,Still work going on:)it is very small house.
92,0,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls."
93,0,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
94,1,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
96,1,"449050000301 You have won a å£2,000 price! To claim, call 09050000301."
97,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
98,0,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
99,0,Thank you baby! I cant wait to taste the real thing...
100,0,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
101,1,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk
102,0,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.
103,0,Was the farm open?
104,1,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"
105,0,Have your lunch and come quickly and open the door:)
106,0,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
107,1,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
108,0,"Yes, princess. Are you going to make me moan?"
109,0,Mm i had my food da from out
110,0,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
111,0,We're done...
112,0,LOL ... Have you made plans for new years?
113,0,No. On the way home. So if not for the long dry spell the season would have been over
114,0,Hi! This is Roger from CL. How are you?
115,0,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
116,0,It has issues right now. Ill fix for her by tomorrow.
117,1,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
118,0,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
119,0,I am in tirupur.  call you da.
120,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
121,0,ÌÏ neva tell me how i noe... I'm not at home in da aft wat... 
122,1,You have 1 new voicemail. Please call 08719181503
123,0,From 5 to 2 only my work timing.
124,0,Cos darren say ? considering mah so i ask ?...
125,0,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
126,0,"\Gimme a few\"" was  &lt;#&gt;  minutes ago"""
127,0,You will be in the place of that man
128,0,Ok lar... Joking wif u oni...
129,0,Sorry me going home first... Daddy come fetch ? later...
130,0,"I shall book chez jules for half eight, if that's ok with you?"
131,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
132,0,Takin a shower now but yeah I'll leave when I'm done
133,1,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
134,0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
135,0,Ok lor. Msg me b4 u call.
136,0,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
137,0,Lol no. U can trust me.
138,0,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx
139,1,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
140,0,Might ax well im there.
141,0,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
142,0,What happened to our yo date?
143,0,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
144,1,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
145,0,Minimum walk is 3miles a day.
146,0,I love to cuddle! I want to hold you in my strong arms right now...
147,0,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\"""""
148,0,Double eviction this week - Spiral and Michael and good riddance to them!
149,0,Pls pls find out from aunt nike.
150,1,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
151,0,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
152,1,WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
153,0,Hey whats up? U sleeping all morning?
154,1,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
155,0,What Today-sunday..sunday is holiday..so no work..
156,1,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
157,1,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
158,0,You'll never believe this but i have actually got off at taunton. Wow
159,0,Can you do a mag meeting this avo at some point?
160,1,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
161,0,K I'll call you when I'm close
162,0,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
163,0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
164,0,Lol u still feeling sick?
165,0,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
166,0,Have you started in skye
167,0,Ryder unsold.now gibbs.
168,0,So why didnt you holla?
169,0,Thx. All will be well in a few months
170,0,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
171,0,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
172,0,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
173,0,Hahaha..use your brain dear
174,0,Hi dude hw r u da realy mising u today
175,0,Hows the champ just leaving glasgow!
176,0,Lol well don't do it without me. We could have a big sale together.
177,0,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
178,1,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
179,0,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
180,0,"I think IÛ? waiting for the same bus! Inform me when you get there, if you ever get there."
181,0,Can... I'm free...
182,0,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
183,0,Good words.... But words may leave u in dismay many times.
184,0,"If we hit it off, you can move in with me :)"
185,0,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
186,1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
187,0,Hey you can pay. With salary de. Only  &lt;#&gt; .
188,1,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
189,0,"Sir, Waiting for your mail."
190,0,I sent you  &lt;#&gt;  bucks
191,0,"Good stuff, will do."
192,0,"I've got ten bucks, jay is being noncomittal"
193,0,Ok i've sent u da latest version of da project.
194,0,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
195,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
196,1,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
197,0,Sending you greetings of joy and happiness. Do have a gr8 evening
198,0,Are you ok. What happen to behave like this
199,0,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
200,0,Oh ho. Is this the first time u use these type of words
201,0,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_"
202,0,i am going to bed now prin
203,0,Send his number and give reply tomorrow morning for why you said that to him like that ok
204,0,Jordan got voted out last nite!
205,1,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
206,1,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412
207,0,I fetch yun or u fetch?
208,0,"Nothing, i got msg frm tht unknown no.."
209,1,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
210,0,Nt yet chikku..simple habba..hw abt u?
211,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
212,0,You were supposed to wake ME up &gt;:(
213,0,K..give back my thanks.
214,0,Happy new years melody!
215,0,I am joining today formally.Pls keep praying.will talk later.
216,0,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
217,1,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p "
218,0,Not yet chikku..wat abt u?
219,0,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
220,0,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
221,1,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
222,0,WHO ARE YOU SEEING?
223,0,Yep then is fine 7.30 or 8.30 for ice age.
224,0,Lol now I'm after that hot air balloon!
225,1,"Thanks for your ringtone order, ref number R836. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069154"
226,0,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
227,0,Mm have some kanji dont eat anything heavy ok
228,0,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
229,1,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
230,0,I asked sen to come chennai and search for job.
231,0,Still otside le..u come 2morrow maga..
232,0,We r outside already.
233,0,Carry on not disturbing both of you
234,1,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk."""
235,0,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
236,0,Got c... I lazy to type... I forgot ? in lect... I saw a pouch but like not v nice...
237,0,Beerage?
238,0, and  picking them up from various points
239,0,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\"""""
240,0,Come to my home for one last time i wont do anything. Trust me.
241,0,"Dear relieved of westonzoyland, all going to plan this end too!"
242,0,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
243,0,Hai priya are you right. What doctor said pa. Where are you.
244,1,U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.
245,0,Blank is Blank. But wat is blank? Lol
246,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
247,1,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
248,0,Good Morning my Dear........... Have a great &amp; successful day.
249,0,Huh i cant thk of more oredi how many pages do we have?
250,0,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
251,0,I am going to film 2day da. At 6pm. Sorry da.
252,0,ok. I am a gentleman and will treat you with dignity and respect.
253,1,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
254,0,Dont worry. I guess he's busy.
255,0,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
256,0,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
257,0,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
258,0,Please leave this topic..sorry for telling that..
259,0,"Gumby's has a special where a  &lt;#&gt; \ cheese pizza is $2 so I know what we're doin tonight"""
260,1,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
261,0,Surely result will offer:)
262,0,"Why is that, princess? I bet the brothas are all chasing you!"
263,1,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
264,0,They said ? dun haf passport or smth like dat.. Or ? juz send to my email account..  
265,0,S'fine. Anytime. All the best with it.
266,0,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
267,0,India have to take lead:)
268,0,"Tee hee. Off to lecture, cheery bye bye."
269,1,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
270,1,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
271,0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
272,1,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA
273,0,O i played smash bros  &lt;#&gt;  religiously.
274,0,How long does applebees fucking take
275,0,Cps is causing the outages to conserve energy.
276,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470"
277,0,"Yes, princess. Toledo."
278,0,In meeting da. I will call you
279,0,Ok I'm gonna head up to usf in like fifteen minutes
280,0,Are you not around or just still asleep? :V
281,0,Die... Now i have e toot fringe again...
282,0,I can do that! I want to please you both inside and outside the bedroom...
283,0,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
284,0,I'm home.
285,0,"Yo my trip got postponed, you still stocked up?"
286,0,"Are you being good, baby? :)"
287,0,"ThatÛ? the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
288,0,dont make ne plans for nxt wknd coz she wants us to come down then ok
289,0,Yup next stop.
290,0,Ok. Me watching tv too.
291,0,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
292,0,I donno if they are scorable
293,1,ringtoneking 84484
294,0,This phone has the weirdest auto correct.
295,0,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
296,0,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
297,0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
298,0,Hey mr whats the name of that bill brison book the one about language and words 
299,0,Are you there in room.
300,0,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!
301,0,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
302,0,S..antha num corrct dane
303,0,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
304,0,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that
305,0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
306,0,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
307,0,Sorry da thangam.it's my mistake.
308,0,Thats cool. Where should i cum? On you or in you? :)
309,0,Then cant get da laptop? My matric card wif ? lei... 
310,0,"I am real, baby! I want to bring out your inner tigress..."
311,0,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
312,0,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
313,0,S:)but he had some luck.2 catches put down:)
314,0,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
315,0,"I just got home babe, are you still awake ?"
316,0,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
317,0,"That's what I love to hear :V see you sundayish, then"
318,1,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
319,0,Then we gotta do it after that
320,0,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
321,0,Lol. Well quality aint bad at all so i aint complaining
322,1,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795
323,0,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
324,0,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?
325,0,I love to wine and dine my lady!
326,0,"Alright if you're sure, let me know when you're leaving"
327,0,Yo we are watching a movie on netflix
328,0,So i could kiss and feel you next to me...
329,1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
330,0,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
331,0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
332,0,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
333,0,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
334,0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
335,1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
336,0,Yeah do! DonÛ? stand to close tho- youÛ?l catch something!
337,0,It only does simple arithmetic not percentages.
338,0,What should i eat fo lunch senor
339,0,You could have seen me..i did't recognise you Face.:)
340,1,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
341,0,26th OF JULY
342,0,Wat's my dear doing? Sleeping ah?
343,1,You have 1 new voicemail. Please call 08719181513.
344,0,I'm done oredi...
345,0,"sry can't talk on phone, with parents"
346,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
347,0,Lmao. Take a pic and send it to me.
348,0,Pls dont forget to study
349,1,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
350,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
351,0,how tall are you princess?
352,0,"So check your errors and if you had difficulties, do correction."
353,0,"&lt;#&gt; , that's all? Guess that's easy enough"
354,0,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
355,0,When you came to hostel.
356,0,I'm done. C ? there.
357,0,I meant middle left or right?
358,0,Shuhui has bought ron's present it's a swatch watch...
359,0,Actually getting ready to leave the house.
360,0,I see the letter B on my car
361,0,YO YO YO BYATCH WHASSUP?
362,0,Change again... It's e one next to escalator...
363,0,Do you know when the result.
364,0,U reach orchard already? U wan 2 go buy tickets first?
